"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"5715",80180849,"TV Show","Fate/Apocrypha","","Natsuki Hanae, Maaya Sakamoto, Kouki Uchiyama, Miyuki Sawashiro, Saori Hayami, Koji Yusa, Makoto Furukawa, Tetsu Inada, Satoshi Tsuruoka, Kei Shindou, Junichi Suwabe, Shunsuke Takeuchi, Ryotaro Okiayu, Mitsuru Miyamoto, Rumi Okubo, Ai Nonaka, Sakura Tange","Japan"," November 7, 2017",2017,"TV-MA","2 Seasons","Anime Series, International TV Shows","The theft of the Greater Grail from Fuyuki City leads to a splintered timeline in which the Great Holy Grail War is waged on an unprecedented scale."
"5716",80058852,"TV Show","Project Mc²","","Mika Abdalla, Genneya Walton, Victoria Vida, Ysa Penarejo, Belle Shouse, Alyssa Lynch, Danica McKellar, Maddie Phillips, Sarah Desjardins","United States"," November 7, 2017",2017,"TV-Y7","6 Seasons","Kids' TV","Teenage spy McKeyla teams up with three other super-smart girls to become secret agents who use their science and tech skills to save the day."
"5717",81042948,"TV Show","Millennials","","Nicolás Riera, Laura Laprida, Juan Manuel Guilera, Johanna Francella, Matías Meyer, Noelia Marzol, Luisa Drozdek, Agustina Mindlin, Santiago Talledo, Chang Sung Kim, Osmar Nuñez, Fabio Aste","Argentina"," November 5, 2019",2019,"TV-MA","2 Seasons","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","A group of millennials copes with the pressures of adulting by tackling a diverse set of problems from unemployment to cheating."
"5719",80179762,"TV Show","She-Ra and the Princesses of Power","","Aimee Carrero, AJ Michalka, Marcus Scribner, Karen Fukuhara, Reshma Shetty, Lorraine Toussaint, Keston John, Lauren Ash, Christine Woods, Morla Gorrondona, Antony Del Rio, Dana Davis, Grey Griffin, Genesis Rodriguez, Jordan Fisher, Vella Lovell, Merit Leighton, Sandra Oh, Krystal Joy Brown","United States"," November 5, 2019",2019,"TV-Y7-FV","4 Seasons","Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde."
"5720",80175722,"TV Show","The End of the F***ing World","","Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley, Navin Chowdhry, Wunmi Mosaku, Gemma Whelan, Jonathan Aris, Eileen Davies","United Kingdom"," November 5, 2019",2019,"TV-MA","2 Seasons","British TV Shows, International TV Shows, TV Comedies","A budding teen psychopath and a rebel hungry for adventure embark on a star-crossed road trip in this darkly comic series based on a graphic novel."
"5721",81200716,"TV Show","Meet the Adebanjos","","Wale Ojo, Yetunde Oduwole, Andrea Aboagye, Daniel Davids, Moji Bamtefa, Jordan Coulson","United Kingdom"," November 4, 2019",2016,"TV-PG","3 Seasons","British TV Shows, TV Comedies","In South London, tradition clashes with culture as a Nigerian father tries to instill his old-fashioned African values into his modern British family."
"5722",80028732,"TV Show","F is for Family","","Bill Burr, Laura Dern, Justin Long, Debi Derryberry, Sam Rockwell","United States, France, Canada"," November 30, 2018",2018,"TV-MA","3 Seasons","TV Comedies","Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV."
"5723",80115341,"TV Show","Spy Kids: Mission Critical","","Ashley Bornancin, Carter Hastings, Caitlyn Bairstow, Nicholas Coombe, Nesta Cooper, Richard Ian Cox, Tom Kenny, Travis Turner, Candi Milo, Mira Sorvino","United States, Canada"," November 30, 2018",2018,"TV-Y7-FV","2 Seasons","Kids' TV","In this animated spinoff series, Juni and Carmen Cortez must battle the evil organization S.W.A.M.P. – without the help of their super-spy parents."
"5724",80221261,"TV Show","Man Down","","Greg Davies, Roisin Conaty, Jeany Spark, Gwyneth Powell, Isy Suttie, Michael Wozniak, Elliot Levey, Ruth Bratt, Deirdre Mullins, Steven Berkoff, Stella Gonet, Rik Mayall, Ashley McGuire, Stephanie Cole","United Kingdom"," November 30, 2017",2017,"TV-MA","4 Seasons","British TV Shows, TV Comedies","A childish idiot trapped in an adult's body, schoolteacher Dan hates his job, hates his girlfriend-less life and has good reason to fear his dad."
"5728",80213643,"TV Show","Chip and Potato","","Abigail Oliver, Andrea Libman, Briana Buckmaster, Brian Dobson, Chance Hurstfield, Dominic Good, Emma Jayne Maas, Evan Byarushengo, Scotia Anderson, Alessandro Juliani","Canada, United Kingdom"," November 29, 2019",2019,"TV-Y","2 Seasons","Kids' TV","Lovable pug Chip starts kindergarten, makes new friends and tries new things – with a little help from Potato, her secret mouse pal."
"5729",70205672,"TV Show","La Reina del Sur","","Kate del Castillo, Cristina Urgel, Alberto Jiménez, Juan José Arjona, Humberto Zurita, Dagoberto Gama, Christian Tappán, Miguel de Miguel, Salvador Zerboni, Carmen Navarro, Santiago Meléndez, Juan Carlos Solarte","United States, Spain, Colombia, Mexico"," November 29, 2019",2019,"TV-14","2 Seasons","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","This compelling show tells the story of the legendary Teresa Mendoza, a courageous woman who is perceived as conquering the world of drug trafficking."
"5730",80092878,"TV Show","Good Morning Call","","Haruka Fukuhara, Shunya Shiraishi, Dori Sakurada, Moe Arai, Kentaro, Shugo Nagashima, Koya Nagasawa, Hinako Tanaka, Tomoharu Hasegawa, Tomoko Fujita, Erika Mori, Kei Tanaka, Yosuke Sugino, Maryjun Takahashi, Itsuki Sagara, Madoka Yoshida","Japan"," November 28, 2017",2017,"TV-14","2 Seasons","International TV Shows, Romantic TV Shows, TV Comedies","A high school girl finally gets her own apartment, but she has to share it with the most popular boy in school. No one can know they're living together."
"5731",70302484,"TV Show","Broadchurch","","David Tennant, Olivia Colman, Andrew Buchan, Jodie Whittaker, Arthur Darvill, Jonathan Bailey, Carolyn Pickles, Adam Wilson, Charlotte Beaumont, Simone McAullay, Tanya Franks, Pauline Quirke, Phoebe Waller-Bridge, Marianne Jean-Baptiste, Charlotte Rampling, Eve Myles, James D'Arcy, Susan Brown, Vicky McClure, Will Mellor, David Bradley","United Kingdom"," November 27, 2017",2017,"TV-14","3 Seasons","British TV Shows, Crime TV Shows, International TV Shows","After a young boy is murdered in the small seaside town of Broadchurch, local detectives Ellie Miller and Alec Hardy are assigned the mysterious case."
"5733",80099656,"TV Show","Frontier","","Jason Momoa, Landon Liboiron, Alun Armstrong, Jessica Matten, Zoe Boyle, Allan Hawco, Evan Jonigkeit, Katie McGrath","Canada"," November 23, 2018",2018,"TV-MA","3 Seasons","International TV Shows, TV Action & Adventure, TV Dramas","In 18th-century North America, ruthless trappers and entrepreneurs fight to wrest control of the fur trade from the mighty Hudson's Bay Company."
"5734",80998905,"TV Show","Sick Note","","Rupert Grint, Nick Frost, Don Johnson, Lindsay Lohan, Pippa Bennett-Warner, Marama Corlett, Karl Theobald, Belinda Stewart-Wilson, Camilla Beeput, Dustin Demri-Burns, Tolu Ogunmefun","United Kingdom"," November 23, 2018",2018,"TV-MA","2 Seasons","British TV Shows, International TV Shows, TV Comedies","After slacker Daniel Glass is misdiagnosed with cancer, his lies lead him into an absurd web of fraud, blackmail, suspicion and misadventure."
"5735",80233258,"TV Show","High Seas","","Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín, Chiqui Fernández, Tamar Novas, Daniel Lundh, Manuela Vellés, Natalia Rodríguez, Laura Prats, Ignacio Montes, Begoña Vargas, Luis Bermejo, Pepe Ocio, Ben Temple, Félix Gómez, Antonio Durán 'Morris', Eduardo Blanco, José Sacristán","Spain"," November 22, 2019",2019,"TV-MA","2 Seasons","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s."
"5736",81019894,"TV Show","Nailed It! Holiday!","","Nicole Byer, Jacques Torres","United States"," November 22, 2019",2019,"TV-PG","2 Seasons","Reality TV","It's the ""Nailed It!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad."
"5737",80212245,"TV Show","The Dragon Prince","","Jack De Sena, Paula Burrows, Sasha Rojen, Jason Simpson, Racquel Belmonte, Jesse Inocalla, Luc Roderique, Jonathan Holmes, Adrian Petriw","United States, Canada"," November 22, 2019",2019,"TV-Y7-FV","3 Seasons","Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands."
"5738",80117560,"TV Show","Trolls: The Beat Goes On!","","Amanda Leighton, Skylar Astin, Ron Funches, David Fynn, David Koechner, David Kaye, Sean T. Krishnan, Sam Lerner, Patrick Pinney, Kevin Michael Richardson, Kari Wahlgren, Fryda Wolff","United States"," November 22, 2019",2019,"TV-G","8 Seasons","Kids' TV, TV Comedies","As Queen Poppy welcomes a new time of peace in Troll Village with parties, sports and holiday celebrations, Branch tries to be more fun-loving."
"5739",80128275,"TV Show","Mystery Science Theater 3000: The Return","","Felicia Day, Patton Oswalt, Jonah Ray, Baron Vaughn, Hampton Yount","United States"," November 22, 2018",2018,"TV-14","2 Seasons","TV Comedies, TV Sci-Fi & Fantasy","The cult hit returns! Captured by mad scientists, new host Jonah survives a blitz of cheesy B movies by riffing on them with his funny robot pals."
"5742",70178217,"TV Show","House of Cards","","Kevin Spacey, Robin Wright, Kate Mara, Corey Stoll, Sakina Jaffrey, Kristen Connolly, Constance Zimmer, Sebastian Arcelus, Nathan Darrow, Sandrine Holt, Michel Gill, Elizabeth Norment, Mahershala Ali, Reg E. Cathey, Molly Parker, Derek Cecil, Elizabeth Marvel, Kim Dickens, Lars Mikkelsen, Michael Kelly, Joel Kinnaman, Campbell Scott, Patricia Clarkson, Neve Campbell","United States"," November 2, 2018",2018,"TV-MA","6 Seasons","TV Dramas, TV Thrillers","A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama."
"5743",80074249,"TV Show","The Last Kingdom","","Alexander Dreymon, Emily Cox, David Dawson, Ian Hart, Rune Temte, Matthew Macfadyen, Rutger Hauer, Tobias Santelmann, Peter Gantzler, Adrian Bower, Joseph Millson, Henning Valin Jakobsen, Alexandre Willaume, Thomas W. Gabrielsson","United Kingdom"," November 19, 2018",2018,"TV-MA","3 Seasons","British TV Shows, International TV Shows, TV Action & Adventure","As Alfred the Great defends his kingdom from Norse invaders, Uhtred – born a Saxon but raised by Vikings – seeks to claim his ancestral birthright."
"5746",80025678,"TV Show","The Crown","","Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser","United Kingdom, United States"," November 17, 2019",2019,"TV-MA","3 Seasons","British TV Shows, International TV Shows, TV Dramas","This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century."
"5747",70269479,"TV Show","Longmire","","Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Bailey Chase, Cassidy Freeman, Adam Bartley, Louanne Stephens","United States"," November 17, 2017",2017,"TV-14","6 Seasons","Crime TV Shows, TV Dramas","This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife."
"5748",80057171,"TV Show","Luna Petunia","","Ciara Alexys, Katie Griffin, Cory Doran, Jonah Wineberg","United States"," November 17, 2017",2017,"TV-Y","3 Seasons","Kids' TV","With help from her magic toy chest, fun-loving Luna Petunia enters the fantastic land of Amazia, where adventures, friendship and learning await."
"5749",80245299,"TV Show","Ponysitters Club","","Morgan Neundorf, Madeline Leon, Khiyla Aynne, Cailan Laine Punnewaert, Zyon Allen, Maya Franzoi, Victoria Tomazelli, Hugh Wilson, Diana Chrisman","Canada"," November 16, 2018",2018,"TV-Y7","2 Seasons","Kids' TV, TV Dramas","A young horse enthusiast teams up with her best friends to rescue and rehabilitate animals on her family's beloved ranch."
"5751",80115338,"TV Show","Llama Llama","","Jennifer Garner, Shayle Simons, Vania Gill, Islie Hirvonen, Brendon Sunderland, Austin Abell, Evans Johnson, Kathleen Barr, David Hoole","United States"," November 15, 2019",2019,"TV-Y","2 Seasons","Kids' TV","Beloved children's book character Llama Llama springs to life in this heartwarming series about family, friendship and learning new things."
"5752",80161497,"TV Show","The Toys That Made Us","","","United States"," November 15, 2019",2019,"TV-14","3 Seasons","Docuseries, Reality TV","The minds behind history's most iconic toy franchises discuss the rise – and sometimes fall – of their billion-dollar creations."
"5753",81086462,"TV Show","The Yard","","Demet Evgar, Ceren Moray, Nursel Köse, Kenan Ece, Teoman Kumbaracıbaşı, Çağdaş Onur Öztürk, Deniz Barut, Onuryay Evrentan, Görkem Mertsöz, Mert Tanık, Ayça Damgacı","Turkey"," November 15, 2019",2019,"TV-MA","2 Seasons","Crime TV Shows, International TV Shows, TV Dramas","After a fateful domestic clash, a devoted mother finds herself in prison and fighting to survive in hopes of reuniting with her daughter."
"5754",81070963,"TV Show","Chief of Staff","","Lee Jung-jae, Shin Mina, Lee Elijah, Kim Dong-jun, Jung Jin-young, Kim Kap-soo, Jung Woong-in, Im Won-hee, Kim Hong-pa","South Korea"," November 12, 2019",2019,"TV-14","2 Seasons","International TV Shows, Korean TV Shows, TV Dramas","As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top."
"5755",70234440,"TV Show","My Little Pony: Friendship Is Magic","","Ashleigh Ball, Tabitha St. Germain, Tara Strong, Andrea Libman, Cathy Weseluck, Nicole Oliver","United States, Canada"," November 12, 2018",2018,"TV-Y","8 Seasons","Kids' TV","Journey to the enchanted land of Equestria, where unicorn Twilight Sparkle and her pals have adventures and learn valuable lessons about friendship."
"5756",80239931,"TV Show","Patriot Act with Hasan Minhaj","","Hasan Minhaj",""," November 10, 2019",2019,"TV-MA","5 Seasons","TV Comedies","Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series."
"5757",80175619,"TV Show","Glitter Force Doki Doki","Go Koga","Debi Derryberry, Cassandra Morris, Melissa Fahn, Stephanie Sheh, Erica Lindbeck, Kate Higgins, Cherami Leigh, Tara Sands, Bryce Papenbrook, Erica Mendez, Ray Chase, Carrie Keranen, Ben Diskin, Grant George, Kirk Thornton","Japan"," November 10, 2017",2017,"TV-Y7","2 Seasons","Anime Series, Kids' TV","Four girls summon their inner superheroes to defend Earth and the magical kingdom of Splendorius from King Mercenare and his minions."
"5758",80046193,"TV Show","Lady Dynamite","","Maria Bamford, Fred Melamed, Mary Kay Place, Ed Begley Jr., Ana Gasteyer, Lennon Parham, Bridget Everett, Mo Collins, June Diane Raphael, Dean Cain, Ólafur Darri Ólafsson, Patton Oswalt, Keith Lucas, Kenny Lucas, Sarah Silverman, Mira Sorvino, Jon Cryer, Brandon Routh, Adam Pally, Tig Notaro, Andy Samberg, David Spade, Fred Armisen, Jason Mantzoukas, Jenny Slate, Judd Apatow, Judy Greer, Weird Al Yankovic","United States"," November 10, 2017",2017,"TV-MA","2 Seasons","TV Comedies","Comedian Maria Bamford stars in a series inspired by her own life. It's the sometimes surreal story of a woman who loses – and then finds – her s**t."
"5759",80117540,"TV Show","Atypical","","Jennifer Jason Leigh, Keir Gilchrist, Michael Rapaport, Brigette Lundy-Paine, Amy Okuda, Jenna Boyd, Graham Rogers, Nik Dodani","United States"," November 1, 2019",2019,"TV-MA","3 Seasons","TV Comedies, TV Dramas, Teen TV Shows","When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery."
"5760",81183624,"TV Show","Billy on the Street","","Billy Eichner","United States"," November 1, 2019",2016,"TV-14","4 Seasons","International TV Shows, Reality TV, TV Comedies","Comedian Billy Eichner sprints through New York with celebrities to stun pedestrians with unapologetic, unfiltered and unique pop culture questions."
"5761",80221999,"TV Show","Bondi Rescue","","Andrew Günsberg, Dean Gladstone, Bruce Hopkins, Trent 'Maxi' Maxwell, Andrew Reid, Ryan Clark, Chris Chapman, Anthony 'Harries' Caroll","Australia"," November 1, 2019",2016,"TV-PG","1 Season","Reality TV","This reality series follows elite professional lifeguards on Sydney's Bondi Beach, as they take on everything from animal stings to criminals."
"5765",80144355,"TV Show","Mars","Everardo Gout","Jihae, Alberto Ammann, Clémentine Poidatz, Anamaria Marinca, Sammi Rotibi, Nicholas Wittman, Cosima Shaw","United States"," November 1, 2019",2018,"TV-PG","2 Seasons","Docuseries, Science & Nature TV, TV Dramas","Fact meets fiction in this docudrama chronicling the journey of a spacecraft crew as it embarks in 2033 on a mission to colonize the red planet."
"5766",80150290,"TV Show","Mobile Suit Gundam: Iron-Blooded Orphans","","Kengo Kawanishi, Yoshimasa Hosoya, Natsuki Hanae, Yuuichirou Umehara, Yasuaki Takumi, Taishi Murata, Kouhei Amasaki, Mutsumi Tamura, Soma Saito, Yuka Terasaki, Hisako Kanemoto, Takahiro Sakurai, Masaya Matsukaze, Toru Okawa",""," November 1, 2019",2016,"TV-14","2 Seasons","Anime Series, International TV Shows","On a terraformed post-disaster Mars, a group of child security agents rebel against the adults who betrayed them and the oppressive Earth government."
"5767",81022003,"TV Show","The Boulet Brothers Dragula","","Boulet Brothers","United States"," November 1, 2019",2019,"TV-MA","2 Seasons","Reality TV","Ten queens must slay the competition and put their fiercest, filthiest faces forward for the chance to be crowned the world's next drag supermonster."
"5768",80101401,"TV Show","The Deep","","Vincent Tong, Ashleigh Ball, Kathleen Barr, Michael Dobson, Brian Drummond","Canada, Australia"," November 1, 2019",2019,"TV-Y7","3 Seasons","Kids' TV","The Nektons are a family of underwater explorers who discover the hidden secrets of the oceans, including sunken cities, sea creatures and pirates."
"5770",80217889,"TV Show","Follow This","","John Stanton, Scaachi Koul, Azeen Ghorayshi, Bim Adewunmi, Juliane Loffler, Charlie Warzel","United States"," November 1, 2018",2018,"TV-MA","3 Seasons","Docuseries","Follow the reporters at BuzzFeed as they probe topics ranging from quirky internet crazes to safe injection spaces for opioid users."
"5773",70279656,"TV Show","The Mind of a Chef","","Anthony Bourdain, David Chang, Sean Brock, April Bloomfield, Edward Lee, Magnus Nilsson, Gabrielle Hamilton, David Kinch, Ludo Lefebvre","United States"," November 1, 2017",2016,"TV-PG","5 Seasons","Docuseries","Producer and narrator Anthony Bourdain explores the creative processes of international celebrity chefs to learn what fuels their culinary artistry."
"5777",80057918,"TV Show","Lucifer","","Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis","United States"," May 8, 2019",2019,"TV-14","4 Seasons","Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
"5778",80107369,"TV Show","Queen of the South","","Alice Braga, Veronica Falcón, Justina Machado, Peter Gadiot, Hemky Madera, Gerardo Taracena","United States, Mexico, Spain, Malta"," May 7, 2019",2018,"TV-14","3 Seasons","Crime TV Shows, TV Action & Adventure, TV Dramas","Forced to work for a cartel that recently killed her boyfriend, Teresa relies on her street smarts, a loyal pal and a mysterious notebook to survive."
"5779",80208115,"TV Show","Prince Jai Aur Dumdaar Viru","Bhavik Thakore","",""," May 7, 2018",2017,"TV-G","2 Seasons","Kids' TV, TV Comedies","A prince and a commoner who are best friends keep having to thwart the plots of the prince's scheming, ambitious minister."
"5780",80057609,"TV Show","Kazoops!","","Reece Pockney, Scott Langley, Alex Babic, Gemma Harvey, Jessica Hann, Emma Tate","Australia"," May 5, 2017",2017,"TV-Y","3 Seasons","Kids' TV","Music meets imagination in this inventive animated series about thinking outside the box and having fun."
"5781",80023612,"TV Show","Kong: King of the Apes","","Lee Tockar, Sam Vincent, Alessandro Juliani, Tabitha St. Germain, Kathleen Barr, Viv Leacock, Shannon Chan-Kent, Vincent Tong","United States, Japan, Canada"," May 4, 2018",2018,"TV-Y7-FV","2 Seasons","Kids' TV","In 2050, an evil scientist is about to unleash an army of robotic dinosaurs. Now it's up to Kong and friends to fight back and save the day."
"5782",80221787,"TV Show","Bad Blood","","Anthony LaPaglia, Kim Coates, Enrico Colantoni, Paul Sorvino, Maxim Roy, Brett Donahue, Michelle Mylett, Claudia Ferri, Tony Nappo","Canada"," May 31, 2019",2019,"TV-MA","2 Seasons","Crime TV Shows, TV Dramas","This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades."
"5783",80209096,"TV Show","My Next Guest Needs No Introduction With David Letterman","","President Barack Obama, George Clooney, Malala Yousafzai, Jay-Z, Tina Fey, Howard Stern, David Letterman","United States"," May 31, 2019",2019,"TV-MA","2 Seasons","Stand-Up Comedy & Talk Shows","TV legend David Letterman teams up with fascinating global figures for in-depth interviews and curiosity-fueled excursions in this monthly talk show."
"5785",80025384,"TV Show","Unbreakable Kimmy Schmidt","","Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane","United States"," May 30, 2018",2019,"TV-14","4 Seasons","TV Comedies","When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore."
"5786",80024103,"TV Show","American Crime","","Felicity Huffman, Timothy Hutton, Elvis Nolasco, Regina King, Lili Taylor, Richard Cabral, Brent Anderson, Benito Martinez, Shane Jacobsen, W. Earl Brown, Caitlin Gerard, Penelope Ann Miller, Johnny Ortiz","United States"," May 30, 2017",2017,"TV-14","3 Seasons","Crime TV Shows, TV Dramas","This anthology series unfolds a different story arc for each season, with dramas focusing on aspects of American life and the criminal justice system."
"5787",80198459,"TV Show","Cupcake & Dino - General Services","","Justin Collette, Mark Little, Kyle Dooley, Mark Forward, Joris Jarksy, Julie Lemieux, Kayla Lorette, Julie Sype","Canada, Brazil"," May 3, 2019",2019,"TV-Y7","2 Seasons","Kids' TV, TV Comedies","An enterprising cupcake and his cheerful dinosaur brother take on jobs of all sorts as they work to help friends and strangers in their eccentric city."
"5788",70143825,"TV Show","Supernatural","Phil Sgriccia","Jared Padalecki, Jensen Ackles, Mark Sheppard, Misha Collins, Jim Beaver, Andrea Menard, Samantha Smith, Mark Pellegrino, Alexander Calvert","United States"," May 3, 2019",2019,"TV-14","14 Seasons","Classic & Cult TV, TV Action & Adventure, TV Horror","Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters."
"5790",70140358,"TV Show","Arrested Development","","Jason Bateman, Portia de Rossi, Will Arnett, Michael Cera, Alia Shawkat, Tony Hale, David Cross, Jeffrey Tambor, Jessica Walter, Ron Howard","United States"," May 29, 2018",2019,"TV-14","5 Seasons","TV Comedies","It's the Emmy-winning story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together."
"5791",80066080,"TV Show","DC's Legends of Tomorrow","Rob Seidenglanz","Victor Garber, Brandon Routh, Caity Lotz, Franz Drameh, Amy Pemberton, Dominic Purcell, Maisie Richardson-Sellers, Nick Zano, Arthur Darvill, Wentworth Miller, Tala Ashe, Adam Tsekhman, Christina Brucato, Simon Merrells, Nils Hognestad, Jes Macallan, Keiynan Lonsdale","United States"," May 28, 2019",2018,"TV-14","4 Seasons","TV Action & Adventure, TV Sci-Fi & Fantasy","A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil."
"5792",70210883,"TV Show","Hell on Wheels","","Anson Mount, Colm Meaney, Common, Dominique McElligott, Eddie Spears, Ben Esler, Phil Burke, Christopher Heyerdahl, Robin McLeavy, Tom Noonan","Canada, United Kingdom"," May 28, 2016",2016,"TV-14","5 Seasons","Crime TV Shows, TV Action & Adventure","Former Confederate soldier Cullen Bohannon sets out on a quest to find his wife's killer as post-Civil War America struggles to rebuild its identity."
"5793",80065386,"TV Show","Supergirl","Jesse Warn","Melissa Benoist, Mehcad Brooks, Chyler Leigh, Jeremy Jordan, David Harewood, Calista Flockhart, Emma Tremblay, Adrian Pasdar, Katie McGrath, David St. Louis, Odette Annable, Floriana Lima, Erica Durance","United States"," May 27, 2019",2019,"TV-14","4 Seasons","TV Action & Adventure, TV Sci-Fi & Fantasy","To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City."
"5794",70281343,"TV Show","Mako Mermaids: An H2O Adventure","","Lucy Fry, Ivy Latimer, Amy Ruffle, Chai Romruen, Isabel Durant, Allie Bertram, Linda Ngo, Gemma Forsyth, Dominic Deutscher, Kerith Atkinson, Rowan Hills, Brooke Nichole Lee","Australia"," May 27, 2016",2016,"TV-G","4 Seasons","Kids' TV, TV Comedies","This ""H2O"" sequel follows Zac, a boy who accidentally turns into a merman and threatens the existence of three young mermaids who guard Mako Island."
"5795",80010655,"TV Show","Bloodline","","Kyle Chandler, Ben Mendelsohn, Sissy Spacek, Linda Cardellini, Norbert Leo Butz, Jacinda Barrett, Jamie McShane, John Leguizamo, Enrique Murciano, Sam Shepard, Chloë Sevigny, Andrea Riseborough, Beau Bridges, Taylor Rouviere, Owen Teague, Brandon Larracuente","United States"," May 26, 2017",2017,"TV-MA","3 Seasons","TV Dramas, TV Mysteries, TV Thrillers","When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test."
"5796",70300066,"TV Show","Bitten","","Laura Vandervoort, Greyston Holt, Greg Bryk, Steve Lund, Paul Greene, Michael Xavier, Genelle Williams","Canada"," May 26, 2016",2016,"TV-MA","3 Seasons","International TV Shows, TV Dramas, TV Horror","Elena Michaels tries to stray from the pack of werewolves that turned her into a monster, but her efforts are thwarted by a string of grisly murders."
"5797",80075820,"TV Show","Trollhunters","","Kelsey Grammer, Anton Yelchin, Charlie Saxton, Lexi Medrano, Fred Tatasciore, Clancy Brown, Mark Hamill, Ron Perlman, Steven Yeun, Amy Landecker, Jonathan Hyde, Anjelica Huston, Lena Headey, David Bradley, Tom Kenny, Laraine Newman, Grey Griffin, James Purefoy","United States, Mexico"," May 25, 2018",2018,"TV-Y7-FV","3 Seasons","Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","After uncovering a mysterious amulet, an average teen assumes an unlikely destiny and sets out to save two worlds. Created by Guillermo del Toro."
"5798",80117554,"TV Show","She's Gotta Have It","","DeWanda Wise, Cleo Anthony, Lyriq Bent, Anthony Ramos, Chyna Layne, Margot Bingham, Ilfanesh Hadera, Elvis Nolasco, De'Adre Aziza","United States"," May 24, 2019",2018,"TV-MA","2 Seasons","Romantic TV Shows, TV Comedies, TV Dramas","Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film."
"5799",80113612,"TV Show","Fauda","","Lior Raz, Hisham Suliman, Shadi Mar'i, Laëtitia Eïdo, Tsahi Halevi, Yuval Segal, Neta Garty, Tomer Kapon, Itzik Cohen, Rona-Lee Shim'on, Boaz Konforty, Doron Ben-David","Israel"," May 24, 2018",2018,"TV-MA","2 Seasons","International TV Shows, TV Action & Adventure, TV Dramas","A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion."
"5800",80133311,"TV Show","Riverdale","Rob Seidenglanz","K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse, Marisol Nichols, Madelaine Petsch, Ashleigh Murray, Mädchen Amick, Luke Perry, Casey Cott, Charles Melton, Mark Consuelos, Lochlyn Munro, Peter Bryant, Colin Lawrence, Molly Ringwald, Asha Bromfield, Barclay Hope, Hayley Law, Martin Cummins, Sarah Habel, Nathalie Boltt, Skeet Ulrich","United States"," May 23, 2019",2019,"TV-14","3 Seasons","Crime TV Shows, TV Dramas, TV Mysteries","While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery."
